testDataY,predDataY,modelType,var,group,modelSimulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
12.47261,12.47261,CONST,pH,group1,GPyModel_simulation
